"property_type","room_type","name","host_name","neighbourhood","host_identity_verified","city","latitude","longitude","accommodates","bathrooms","bedrooms","price","number_of_reviews","review_scores_rating","cancellation_policy"
"Apartment","Entire home/apt","Heart of Williamsburg 1 bedroom","Brittany","Williamsburg","t","Brooklyn",40.71104,-73.96287,2,1,1,100,3,100,"strict_14_with_grace_period"
"Apartment","Private room","Sunny Peaceful Furnished Room w/Dresser","Karla","Harlem","t","New York",40.79111,-73.94077,2,1,1,50,1,100,"flexible"
"Apartment","Entire home/apt","Large, Open, Beautiful Apartment","Christopher","Brooklyn","t","Brooklyn",40.68715,-73.96433,4,1,2,75,4,100,"flexible"
"Apartment","Entire home/apt","Comfortable studio in Midtown","Gabriel","Hell's Kitchen","t","New York",40.76455,-73.98855,3,1,0,140,2,100,"moderate"
"Apartment","Private room","Private Bedroom in  Williamsburg!","Fionn","Brooklyn","t","Brooklyn",40.70986,-73.95927,1,1,1,55,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Big and sunny room!","Tobias","Flatbush","t","Brooklyn",40.64722,-73.95987,1,1,1,32,3,100,"strict_14_with_grace_period"
"Apartment","Private room","Huge Private Room, great location","Adrien","Midtown East","t","New York",40.75606,-73.97108,3,1,1,150,2,100,"flexible"
"Apartment","Private room","Bright, spacious BR in East Village","Katherine","Manhattan","t","New York",40.72431,-73.98312,2,1,1,120,1,100,"moderate"
"Apartment","Private room","Manhattan Midtown-Luxury Sunny & Modern Br","Marcela","Upper West Side","t","New York",40.77208,-73.98907,1,1,1,129,24,100,"moderate"
"House","Private room","Garden View Bedroom in Brownstone","Emily","Park Slope","t","Brooklyn",40.66588,-73.97833,2,2,1,60,1,100,"flexible"
"Apartment","Entire home/apt","Morningside Heights Apartment","Andres","Harlem","t","New York",40.8046,-73.9654,2,1,1,89,3,100,"flexible"
"Apartment","Entire home/apt","Beautiful Modern Large 1 Bedroom","Samantha","Brooklyn","t","Brooklyn",40.67665,-73.95534,3,1,1,115,1,100,"moderate"
"Apartment","Entire home/apt","Sunny Modern Beauty with Deck","Ashley","Brooklyn","t","Brooklyn",40.68636,-73.93104,4,2,2,93,5,100,"moderate"
"Apartment","Entire home/apt","CORPORATE RENTAL ON HISTORIC BLOCK!","Mark","Washington Heights","t","New York",40.83403,-73.93867,1,1,1,200,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Clean, renovated 1 bedroom apt close to 1 train","Andrea","Hamilton Heights","t","New York",40.82501,-73.95125,2,1,1,100,1,100,"moderate"
"Apartment","Private room","Nice and Quiet, lots of trees.","Maria","Queens","t","Queens",40.75836,-73.87631,1,0,0,700,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Sounding  Sanctuary II Manhattan","Joule","Inwood","t","New York",40.8686,-73.92594,2,1,1,45,10,100,"moderate"
"Apartment","Private room","Private Room in Bushwick","Josh","Brooklyn","t","Brooklyn",40.69791,-73.93615,1,1.5,1,40,1,100,"flexible"
